web-scraper-order,web-scraper-start-url,Name Sort ascending,Locality,Accessibility
"1681718724-5003","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1090 Jette
Laarbeeklaan 125","Semi-public"
"1681718724-5004","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1030 Schaerbeek
Vergotesquare 16","Semi-public"
"1681718724-5005","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1020 Laeken
Atomiumsquare 1 bus 211","Semi-public"
"1681718724-5006","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Waterloolaan 115","Semi-public"
"1681718724-5007","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1020 Laeken
Esplanade 1","Semi-public"
"1681718724-5008","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Square de Meeûs 5","Semi-public"
"1681718724-5009","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
Square Servaes Hoedemaekers 10","Semi-public"
"1681718724-5010","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1040 Etterbeek
Rue Père de Deken 2123","Semi-public"
"1681718724-5011","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Tweekerkenstraat","Semi-public"
"1681718724-5012","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Tweestationsstraat 84a","Semi-public"
"1681718724-5013","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
Tollaan 68","Semi-public"
"1681718724-5014","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Rue Dante 75","Semi-public"
"1681718724-5015","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Rue du Pépin 15-23","Semi-public"
"1681718724-5016","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1020 Laeken
Atomiumsquare 1 bus 211","Semi-public"
"1681718724-5017","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1120 Neder-Over-Heembeek
Antoon van Osslaan 1 bus 2","Semi-public"
"1681718724-5018","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Rue du Vieux Marché aux Grains 63","Semi-public"
"1681718724-5019","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1030 Schaerbeek
Koning Albert II laan 37","Semi-public"
"1681718724-5020","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1120 Neder-Over-Heembeek
Avenue de Tyras 75","Semi-public"
"1681718724-5021","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1120 Neder-Over-Heembeek
Fond St Landry 6","Semi-public"
"1681718724-5022","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Leuvenseweg 86","Semi-public"
"1681718724-5023","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1082 Berchem-Sainte-Agathe
Gentsesteenweg 1440","Semi-public"
"1681718724-5024","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1040 Etterbeek
Rue des Taxandres 17","Public"
"1681718724-5025","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
Tollaan 68","Semi-public"
"1681718724-5026","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1060 Saint-Gilles
Avenue Fonsny 13","Public"
"1681718724-5027","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1120 Neder-Over-Heembeek
Vilvoordsesteenweg 2","Semi-public"
"1681718724-5028","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1050 Elsene
Rue De Naples 29","Semi-public"
"1681718724-5029","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
Tollaan 68","Semi-public"
"1681718724-5030","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Avenue Lloyd George 11","Semi-public"
"1681718724-5031","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
Chaussée de Louvain 775","Semi-public"
"1681718724-5032","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Lenniksebaan 451","Semi-public"
"1681718724-5033","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1210 Saint-Josse-Ten-Noode
Sterrenkundelaan 12","Semi-public"
"1681718724-5034","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Industrielaan 9","Semi-public"
"1681718724-5035","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1140 Evere
Avenue de Bâle 1","Semi-public"
"1681718724-5036","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Tweestationsstraat 80","Semi-public"
"1681718724-5037","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1070 Anderlecht
Tweestationsstraat 80","Semi-public"
"1681718724-5038","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1200 Woluwe-Saint-Lambert
Tollaan 68","Semi-public"
"1681718724-5039","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1000 Brussels
Quai des usines 22","Semi-public"
"1681718724-5040","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1030 Schaerbeek
Boulevard du Roi Albert II 27","Semi-public"
"1681718724-5041","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1060 Saint-Gilles
Marcel Broodthaersplein 2","Semi-public"
"1681718724-5042","https://electrify.brussels/en/where-to-charge/list?order=field_operator&sort=desc","null","1080 Molenbeek-Saint-Jean
Edmond Machtenslaan 180","Semi-public"
